Date,PUN,AUST,BRNN,CALB,CNOR,COAC,CORS,CSUD,E_CO,E_NE,E_NW,E_SD,FOGN,FRAN,GREC,MFTV,NORD,PBNF,PRGP,ROSN,SARD,SICI,SLOV,SUD,SVIZ,TBRV,BSP,MALT,XAUS,XFRA,MONT
2006-01-01,48.55834033333334,0.0,48.364583333333336,48.364583333333336,48.62833333333333,,48.63708333333333,48.62833333333333,,48.62833333333333,48.62833333333333,48.364583333333336,,48.62833333333333,48.364583333333336,48.62833333333333,48.62833333333333,48.62833333333333,47.712916666666665,48.364583333333336,48.63708333333333,47.712916666666665,48.62833333333333,48.62833333333333,48.62833333333333,48.62833333333333,,,,,
2006-01-02,66.687781625,0.0,64.33541666666666,64.33541666666666,66.65708333333333,,66.65708333333333,66.655,,66.65833333333333,66.65833333333333,64.33541666666666,,66.65833333333333,64.33541666666666,66.65833333333333,66.65833333333333,66.65708333333333,67.4875,64.33541666666666,66.65708333333333,67.4875,66.65833333333333,66.655,66.65833333333333,66.65833333333333,,,,,
2006-01-03,74.40622483333334,0.0,71.79958333333333,71.79958333333333,74.39,,74.39,74.33291666666666,,74.3925,74.3925,71.79958333333333,,74.3925,71.79958333333333,74.3925,74.3925,74.39,75.83875,71.79958333333333,73.27208333333333,75.83875,74.3925,74.33291666666666,74.3925,74.3925,,,,,
2006-01-04,72.77327008333333,30.727500000000003,72.89583333333333,72.89583333333333,72.69,,72.94666666666667,72.92333333333333,,72.66625,72.66625,72.89583333333333,,72.66625,72.89583333333333,72.66625,72.66625,72.94666666666667,73.0,72.89583333333333,72.94666666666667,73.0,72.66625,72.92333333333333,72.66625,72.66625,,,,,
2006-01-05,71.89154270833333,21.177083333333332,71.58041666666666,71.58041666666666,71.92,,71.92,71.92,,71.92,71.92,71.58041666666666,,71.92,71.58041666666666,71.92,71.92,71.92,71.58666666666666,71.58041666666666,71.92,71.58666666666666,71.92,71.92,71.92,71.92,,,,,
2006-01-06,49.3496265,0.0,48.9475,48.9475,48.96083333333333,,48.96125,48.95916666666667,,48.962916666666665,48.962916666666665,48.9475,,48.962916666666665,48.9475,48.962916666666665,48.962916666666665,48.96083333333333,53.998333333333335,48.9475,48.96125,53.998333333333335,48.962916666666665,48.95916666666667,48.962916666666665,48.962916666666665,,,,,
2006-01-07,69.09271979166667,0.01,67.37166666666667,67.37166666666667,68.41041666666666,,68.41041666666666,68.41041666666666,,68.41041666666666,68.41041666666666,67.37166666666667,,68.41041666666666,67.37166666666667,68.41041666666666,68.41041666666666,68.41041666666666,77.36541666666666,67.37166666666667,68.40958333333333,77.36541666666666,68.41041666666666,68.41041666666666,68.41041666666666,68.41041666666666,,,,,
2006-01-08,52.50939491666667,0.01,51.9025,51.9025,51.9025,,51.9025,51.9025,,51.9025,51.9025,51.9025,,51.9025,51.9025,51.9025,51.9025,51.9025,59.56916666666667,51.9025,51.9025,59.56916666666667,51.9025,51.9025,51.9025,51.9025,,,,,
2006-01-09,76.86560295833333,50.15083333333333,76.69125,76.69125,76.85291666666667,,76.85291666666667,76.70291666666667,,77.13375,77.13375,76.69125,,77.13375,76.69125,77.13375,77.13375,76.85291666666667,75.18583333333333,76.69125,76.85208333333334,75.18583333333333,77.13375,76.70291666666667,77.13375,77.13375,,,,,
2006-01-10,79.983138625,52.791666666666664,78.75791666666667,78.75791666666667,80.14083333333333,,80.1375,80.10791666666667,,80.14083333333333,80.14083333333333,78.75791666666667,,80.14083333333333,78.75791666666667,80.14083333333333,80.14083333333333,80.14083333333333,77.81416666666667,78.75791666666667,80.1375,77.81416666666667,80.14083333333333,80.10791666666667,80.14083333333333,80.14083333333333,,,,,
2006-01-11,78.39504066666667,14.224583333333333,77.44958333333334,77.44958333333334,78.4475,,78.4475,78.42999999999999,,78.4475,78.4475,77.44958333333334,,78.4475,77.44958333333334,78.4475,78.4475,78.4475,77.81958333333334,77.44958333333334,78.4475,77.81958333333334,78.4475,78.42999999999999,78.4475,78.4475,,,,,
2006-01-12,78.52315945833332,14.440416666666666,77.26291666666667,77.26291666666667,78.61125,,78.61125,78.55666666666666,,78.61125,78.61125,77.26291666666667,,78.61125,77.26291666666667,78.61125,78.61125,78.61125,77.55208333333333,77.26291666666667,78.61125,77.55208333333333,78.61125,78.55666666666666,78.61125,78.61125,,,,,
2006-01-13,78.90160808333333,72.34041666666667,77.41833333333334,77.41833333333334,79.05416666666666,,80.21166666666667,78.49541666666667,,79.05416666666666,79.05416666666666,77.41833333333334,,79.05416666666666,77.41833333333334,79.05416666666666,79.05416666666666,79.05416666666666,78.04791666666667,77.41833333333334,80.21166666666667,78.04791666666667,79.05416666666666,78.49541666666667,79.05416666666666,79.05416666666666,,,,,
2006-01-14,59.88044025,13.7725,58.231249999999996,58.231249999999996,59.84625,,60.05458333333333,59.84625,,59.84625,59.84625,58.231249999999996,,59.84625,58.231249999999996,59.84625,59.84625,59.84625,60.24458333333333,58.231249999999996,60.05458333333333,60.24458333333333,59.84625,59.84625,59.84625,59.84625,,,,,
2006-01-15,53.28817900000001,0.0,48.18,48.18,53.421666666666674,,54.221666666666664,53.421666666666674,,53.421666666666674,53.421666666666674,48.18,,53.421666666666674,48.18,53.421666666666674,53.421666666666674,53.421666666666674,52.028333333333336,48.18,54.221666666666664,52.028333333333336,53.421666666666674,53.421666666666674,53.421666666666674,53.421666666666674,,,,,
